District,Area,col1,col2,col3,col4,col5,
Mapo-gu,Changjeon-dong,135474186.4,314645692.9,699,193811.4254,450136.8997,
Mapo-gu,Tojeong-dong,6621265.959,15265210.29,34,194743.1164,448976.7732,
Mapo-gu,Hajung-dong,3292795.019,7642216.706,17,193693.8247,449542.1592,
Mapo-gu,Hapjeong-dong,352668892.8,825646457.3,1835,192190.1323,449943.5734,
Mapo-gu,Hyeonseok-dong,16697310.63,38645015.87,86,194154.7748,449360.6496,
Seodaemun-gu,Namgajwa-dong,359338125.9,843164651.5,1861,193088.7297,453070.7423,
Seodaemun-gu,Naengcheon-dong,30501164.56,70053378.09,155,196781.7068,451957.278,
Seodaemun-gu,Daesin-dong,43911009.93,101671152.7,225,195160.0441,451871.7896,
Seodaemun-gu,Daehyeon-dong,112195509.4,259322238.7,575,195122.6251,450995.1978,
Seodaemun-gu,Migeun-dong,27592663.15,63212886.25,140,197090.4511,451520.6161,
Seodaemun-gu,Bongwon-dong,36333174.64,84131480.03,186,195339.6486,452319.7851,
Seodaemun-gu,Bukgajwa-dong,564036820.3,1330296741,2934,192241.5884,453407.2056,
Seodaemun-gu,Bugahyeon-dong,552993713.3,1272783587,2820,196097.0614,451341.6975,
Seodaemun-gu,Sinchon-dong,45804318.41,106197284.9,235,194911.9932,451903.3401,
Seodaemun-gu,Yeonhui-dong,777723517.8,1815181555,4013,193801.0261,452325.3315,
Seodaemun-gu,Yeongcheon-dong,37727276.14,86852066.25,192,196496.2299,452354.5117,
Seodaemun-gu,Okcheon-dong,34002167.06,78237292.6,173,196544.3182,452238.6855,
Seodaemun-gu,Changcheon-dong,293214777.1,681018715.7,1510,194181.9716,451005.772,
Seodaemun-gu,Cheonyeon-dong,58561124.73,134719941.7,298,196513.8414,452080.3411,
Seodaemun-gu,Chungjeongno-dong,36616002.26,84022856.77,186,196860.2272,451735.7891,
Seodaemun-gu,Chungjeongno-dong,135841607.5,311951431.4,691,196586.9863,451449.2494,
Seodaemun-gu,Hap-dong,7487250.634,17151077.43,38,197032.9114,451344.1429,
Seodaemun-gu,Hyeonjeo-dong,25872036.39,59780351.27,132,196000.2757,452881.449,
Seodaemun-gu,Hongeun-dong,845753111.5,1976095774,4346,194604.9497,454692.9991,
Seodaemun-gu,Hongje-dong,765612141.8,1781449931,3921,195259.4088,454335.611,
Seocho-gu,Naegok-dong,100993318.4,215020510.2,489,206530.3034,439714.7447,
Seocho-gu,Banpo-dong,454862229.2,1007962695,2266,200733.5522,444820.2537,
Seocho-gu,Bangbae-dong,1416183357,3148987616,7112,199125.8939,442771.0371,
Seocho-gu,Seocho-dong,863599603.5,1900271275,4287,201446.1403,443263.6518,
Seocho-gu,Sinwon-dong,77972699.53,166707160.8,380,205191.3146,438703.0547,
Seocho-gu,Yangjae-dong,585334410.7,1269457420,2874,203665.4178,441704.0432,
Seocho-gu,Yeomgok-dong,47685944.52,102591095,233,204660.7061,440305.1287,
Seocho-gu,Umyeon-dong,137548341.4,300160503.4,681,201979.9434,440764.3221,
Seocho-gu,Wonji-dong,21080620.27,45187662.69,103,204666.2162,438715.1718,
Seocho-gu,Jamwon-dong,199319589.3,441563003.7,990,201332.9185,446023.2361,
Seongdong-gu,Geumho-dong,80638567.04,179764114.1,399,202101.6718,450536.6269,
Seongdong-gu,Geumho-dong,91608339.05,204451850.6,454,201780.4825,450334.4728,
Seongdong-gu,Geumho-dong,213021007.8,474749923.9,1055,201915.6472,449999.9279,
Seongdong-gu,Geumho-dong,149529889.3,333267718.6,741,201794.7224,449754.0062,
Seongdong-gu,Doseon-dong,108167799,240701619.8,533,202941.4616,451597.7858,
Seongdong-gu,Majang-dong,459438017.6,1020564446,2258,203471.2213,451977.1684,
Seongdong-gu,Sageun-dong,176772818,390811516.5,866,204125.6559,451283.5064,
Seongdong-gu,Sangwangsimni-dong,6470682.753,14470804.71,32,202208.836,452212.6473,
Seongdong-gu,Seongdong-gu,558321595,1229267401,2735,204139.5229,449457.9164,
Seongdong-gu,Seongdong-gu,698763570,1530966727,3409,204976.1132,449095.5491,
Seongdong-gu,Songjeong-dong,240763419,526392036.2,1169,205956.7314,450292.5887,
Seongdong-gu,Oksu-dong,86153689.42,192293748.1,428,201293.6669,449284.4581,
Seongdong-gu,Yongdap-dong,386231291.4,852210980.3,1887,204680.0696,451622.1411,
Seongdong-gu,Eungbong-dong,91870787.48,203937603.3,453,202805.2704,450193.3847,
Seongdong-gu,Hawangsimni-dong,191651244.7,427085216.1,946,202591.1677,451464.2876,
Seongdong-gu,Haengdang-dong,373181524.1,828551896.5,1837,203147.2641,451035.3275,
Seongdong-gu,Hongik-dong,95972949.35,213725053.5,473,202902.6413,451850.0073,
Seongbuk-gu,Gireum-dong,374847697,846284372.8,1854,202183.2239,456464.063,
Seongbuk-gu,Donam-dong,156113952.3,352473567.8,774,201697.6127,455392.2065,
Seongbuk-gu,Dongseon-dong,65524390.49,147784452.4,325,201613.5092,454721.392,
Seongbuk-gu,Dongseon-dong,72836839.87,164075711.8,361,201764.0994,454503.3567,
Seongbuk-gu,Dongseon-dong,64784368.93,146039355.8,321,201820.464,454951.2642,
Seongbuk-gu,Dongseon-dong,69765025.58,157448010.6,346,201633.0219,455052.0536,
Seongbuk-gu,Dongseon-dong,47145876.96,106512263.3,234,201478.1067,455180.6123,
Seongbuk-gu,Dongsomun-dong,29496165.15,66807810.42,147,200654.1847,454474.9008,
Seongbuk-gu,Dongsomun-dong,53197210.16,120402718.7,265,200744.1893,454349.882,
Seongbuk-gu,Dongsomun-dong,12057171.86,27269729.04,60,200952.8643,454495.484,
